input,target
биык, биік	
болгандыктан, болғандықтан	
жакын, жақын	
теныз, теңіз	
халкынын, халқының	
курылды, құрылды	
орталык, орталық	
аралыгында,	аралығында	
акын, ақын	
дал, дәл	
негызын, негізін	
химиялык, химиялық	
мунда,	мұнда	
дыни, діни	
ежелгы	ежелгі	
жониндегы, жөніндегі	 
тыршылык, тіршілік	
томен, төмен	
гасырдын, ғасырдың	
кызметин, қызметін	
калыптаскан, қалыптасқан	
онтустик, оңтүстік	
баскару, басқару	
биыктыгы, биіктігі	
жуык, жуық	
мадениет, мәдениет	
шаруашылыгы, шаруашылығы	
агылшын, ағылшын	
билдыреды, білдіреді	
кенынен, кеңінен	
комегимен, көмегімен	
уксас,	ұқсас	
алдынгы, алдыңғы	
ауылдык, ауылдық	
дамыган, дамыған	
мадени,	мәдени	
ойткены, өйткені	
агаш, ағаш	
манызы,	маңызы	
мушесы,	мүшесі	
мунай, мұнай	
акесы, әкесі	
енбек, еңбек	
маскеу,	мәскеу	
сойтип,	сөйтіп	
сакталган, сақталған	
таралган, таралған	
темир, темір	
кана, қана	
куру, құру	
арбир,	әрбір	
осимдик, өсімдік	
жогаргы, жоғарғы	
белсенды, белсенді	
женил, жеңіл	
салынган, салынған	
байкалады, байқалады	
ыкпал,	ықпал	
гасырда, ғасырда	
кос, қос	
коныр, қоңыр	
усак, ұсақ	
адеби, әдеби	
республикасынын, республикасының	
сонгы,	соңғы	
аткарады, атқарады	
балык,	балық	
елеулы,	елеулі	
есептеледы,	есептеледі	
жагы, жағы	
кездегы, кездегі	
ортак,	ортақ	
техникалык,	техникалық	
тыгыз, тығыз	
тык, тік	
калды,	қалды	
устине,	үстіне	
айел, әйел	
ондирис, өндіріс	
багыттылган, бағытталған	
ерекшелыгы,	ерекшелігі	
еркын, еркін	
кезенде, кезеңде	
тиымды,	тиімді	
туркы,	түркі	
томенги, төменгі	
казактын, қазақтың	
калпына, қалпына	
кан, қан	
кояды, қояды	
кызыл, қызыл	
алемдик, әлемдік	
айналган, айналған	
айкын,	айқын	
дастурли, дәстүрлі	
жеты, жеті	
жынышке, жіңішке	
кенесыне, кеңесіне	
куши, күші	
коринеды, көрінеді	
салмагы, салмағы	
сактау,	сақтау	
топырак, топырақ	
тунгыш,	тұңғыш	
комитеынын,	комитетінің	
китапхана,	кітапхана	
мажбур,	мәжбүр	
мани,	мәні	
себеби,	себебі	
согыс,	соғыс	
сонында, соңында	
сут, сүт	
танда, таңда	
шыгармашылык, шығармашылық	
калыпты, қалыпты	
курамдас, құрамдас	
ан,	ән	
аркасында, арқасында	
ескы, ескі	
есымы,	есімі	
жалгыз,	жалғыз	
жак, жақ	
жетты,	жетті	
жуз, жүз	
зан, заң	
копшилик, көпшілік	
максатында,	мақсатында	
окып, оқып	
республикалык, республикалық	
суга, суға	
табылган, табылған	
тараган, тараған	
тири, тірі	
тургыдан, тұрғыдан	
каласындагы, қаласындағы	
калын, қалың	
карамастан,	қарамастан	
коршаган, қоршаған	
коса, қоса	
кыз, қыз	
курылыс, құрылыс	
уздик,	үздік	
укиметы, үкіметі	
асерин,	әсерін	
озгеристер,	өзгерістер	
жогары,	жоғары	
ауданынын,	ауданының	
жердин,	жердің	
жиынтыгы, жиынтығы	
заттардын, заттардың	
келисим, келісім	
сабак, сабақ	
суык, суық	
физикалык, физикалық	
каржы, қаржы	
олен, өлең	
ондеу, өңдеу	
акш, ақш
ежелгы,	ежелгі	
мухаммед, мұхаммед	
амайгында,	аймағында	
артык,	артық	
атакты,	атақты	
акыннын, ақынның	
баланын, баланың	
екеуы, екеуі	
енгызылген,	енгізілген	
ерекшеленеды, ерекшеленеді	
жаска, жасқа	
жон, жөн	
сынырген, сіңірген	
тауелсыз, тәуелсіз	
кургак,	құрғақ	
адетте,	әдетте	
окилдеры, өкілдері	
натижесынде, нәтижесінде	
агасы, ағасы	
бастапкы, бастапқы	
багытта, бағытта	
билык,	билік	
денгейы, деңгейі	
енбкетеры,	еңбектері	
жуйе, жүйе	
жумыртка, жұмыртқа	
магынасы, мағынасы	
мушелеры, мүшелері	
мушелерынын, мүшелерінің	
мадениеты	мәдениеті	
сыйлыгынын,	сыйлығының	
сурген,	сүрген	
созинин, сөзінің	
турик, түрік	
ханнын,	ханның	
калындыгы,	қалыңдығы	
коныс,	қоныс	
ушып, ұшып	
акимшилик, әкімшілік	
арекет,	әрекет	
буган,	бұған	
ресейдын, ресейдің	
академиясынын, академиясының	
аныктау, анықтау	
белгылеры, белгілері	
белгысыз, белгісіз	
биркатар, бірқатар	
елдердын, елдердің	
женыске, жеңіске	
жумсак,	жұмсақ	
коринис, көрініс	
музыкалык,	музыкалық	
органикалык, органикалық	
тагайындалды, тағайындалды	
тери, тері	
топка, топқа	
тусиндерме,	түсіндірме	
тулга, тұлға	
катан, қатаң	
кукык, құқық	
улес, үлес	
асем, әсем	
озен, өзен	
онеркасип,	өнеркәсіп	
оним, өнім	
айга, айға	
аналык,	аналық	
аягына,	аяғына	
аяк, аяқ	
басшылык, басшылық	
бакылау, бақылау	
будан,	бұдан	
денесынын,	денесінің	
донгелек,	дөңгелек	
ескерткыш,	ескерткіш	
ешкым,	ешкім	
жазык,	жазық	
жигит,	жігіт	
келтыреды,	келтіреді	
кысы,	кісі	
марапатталган,	марапатталған	
орденымен,	орденімен	
салкын,	салқын	
сур,	сұр	
терыс,	теріс	
тиесылы, тиесілі	
туси,	түсі	
шыгыска, шығысқа	
ыстык,	ыстық	
электрондык, электрондық	
казан, қазан	
каза, қаза		
уйымды,ұйымды
уйымымен, ұйымымен	
уйык, ұйық	
уйыктайды, ұйықтайды	
уйгырдын, ұйғырдың	
уйкас,	ұйқас	
уйкаска, ұйқасқа	
уйкыбез, ұйқыбез	
улан,	ұлан	
уланбайтак,	ұланбайтақ	
уластыру, ұластыру	
уласып,	ұласып	
уласкан, ұласқан	
улагатты, ұлағатты	
улдын,	ұлдың	
улпадан, ұлпадан	
улпасынын,	ұлпасының	
улттыгымызды, ұлттығымызды
ултустилик,	ұлтүстілік	
улыстардын,	ұлыстардың	
улыгы,	ұлығы	
улык,	ұлық	
улгайды, ұлғайды	
улгайтуга,	ұлғайтуға	
ума, ұма	
умытпаган, ұмытпаған	
умытшактык,	ұмытшақтық	
умытылуга, ұмытылуға	
умыткан, ұмытқан	
унамаганды,	ұнамағанды	
унатпаудын,	ұнатпаудың	
унаткандыгынан,	ұнатқандығынан	
унтактайды,	ұнтақтайды	
унтакталган, ұнтақталған	
унтактык, ұнтақтық	
уранга,	ұранға	
урпагымын, ұрпағымын	
урпагында, ұрпағында	
урпакпен, ұрпақпен	
уршык,	ұршық	
урымдар, ұрымдар	
урыктану, ұрықтану	
урыктын, ұрықтың	
урган,	ұрған	
ургашы,	ұрғашы	
усаткышта, ұсатқышта	
усагы,	ұсағы	
устаздык, ұстаздық	
устамайак, ұстамайақ	
хижралык, Һижралық	
адис,	әдіс	
айгерим, әйгерім	
айтпесе, әйтпесе	
койылымында, қойылымында 
рол, рөл 
агылшынша, ағылшынша 
эелементы, элементі
акцияларынын, акцияларының 
еркин, еркін 
шетелдыктерге, шетелдіктерге 
туризмды, туризмді
шокжулдызында, шоқжұлдызында
таризди, тәрізді 
шогыры, шоғыры
градустыколшеулердын, градустықөлшеулердің 
аныктаган, аныктаған
карындасы, қарындасы 
саулетшысы, сәулетшісі 
еуропалыктар, еуропалықтар 
дерлыктей, дерліктей
аздаган, аздаған
кателыктерды, қателіктерді 
алмаганда, алмағанда
козге, көзге 
караныз, қараңыз 
терминдерынын, терминдерінің 
турмыс, тұрмыс
бирегей, бірегей 
жаксарту, жақсарту 
ынылеры, інілері  
шахзада, шаһзада
егиншиликтин, егіншіліктің 
суйикти, сүйікті 
шанырагында, шаңырағында 
кугындалганынан, қуғындалғанынан 
кукына, құқына 
тусында, тұсында 
ишки,	ішкi 
нарыктын, нарықтың 
калыптасуы, қалыптасуы 
сауда, сауда
ережелерын, ережелерiн 
алгашында, алғашында 
куманмен, күмәнмен 
беттегы, беттегі 
кайталанатын, қайталанатын  
ыздеп, іздеп
олардын, олардың 
кескиндерын, кескіндерін 
марте, мәрте 
сактауы, сақтауы
торинен, төрінен 
козкарасым, көзқарасым 
шыгарган, шығарған 
шируынын, шіруінің 
айкын, айқын 
айгагы, айғағы 
гундар, ғұндар 
дунайдын, дунайдың 
жагалауларына, жағалауларына 
кайта, қайта
кабылдаган, қабылдаған  
делинеды, делінеді
терезесы, терезесі 
бирнеше, бірнеше 
польшадагы, польшадағы 
бакылау, бақылау  
толык, толық 
китабы, кітабы 
криминалдык, криминалдық 
дарежедегы, дәрежедегі 
оган, оған 
курылымдарында, құрылымдарында 
усынатын, ұсынатын 
курделы, күрделі 
киристирилген, кірістірілген 
саулет, сәулет 
курылыс, құрылыс 
олендерынын, өлеңдерінің
корнекты, көрнекті 
табыска, табысқа 
болимшены, бөлімшені 
хаттамасынын, хаттамасының 
желилик, желілік 
тотеп, төтеп 
алганымен, алғанымен
тураксыз, тұрақсыз 
оленынен, өлеңінен 
кейын, кейін 
себебы, себебі 
британдык, британдық 
елдеры, елдері
малиметтер, мәліметтер 
корпорациясынын, корпорациясының 
курамына, құрамына 
кыриеды, кіреді
басшылыгы, басшылығы 
курама құрама  
банкроттык, банкроттық 
кодексынын, кодексінің 
козгады, қозғады
кететыны, кететіні  
малимдеме, мәлімдеме 
жиналган, жиналған бағдарламаларға 
озгерту, өзгерту
енгызсе, енгізсе
жобага, жобаға 
такырыбын, тақырыбын 
жалгастыра, жалғастыра 
ежелгы,  ежелгі 
копултты, көпұлтты 
шенеуныктердын, шенеуніктердің
балыкшылардын, балықшылардың
шекарашылардын, шекарашылардың 
катардагы, қатардағы 
кабагында, қабығында 
гасырлар, ғасырлар 
уйгарак,  ұйғарақ 
кум, құм 
казылып, қазылып 
багындарыды, бағындырады
кожайыннын, қожайынның 
мартебелык, мәртебелік 
суретшилер, суретшілер 
драмалык, драмалық 
коринистерды, көріністерді 
терен, терең 
сезымдерды, сезімдерді 
аскан, асқан 
шеберлыкпен, шеберлікпен 
онерынын, өнерінің 
дауырге, дәуірге 
кошуын, көшуін 
былдырды, білдірді
абайдын, абайдың 
тужырымы, тұжырымы 
туптеп, түптеп 
олмес, өлмес
дейтын, дейтін 
ундес, үндес 
шешесы, шешесі 
букара, бұқара 
корлык, қорлық
тылегыне, тілегіне 
багыт, бағыт 
ыздеген, іздеген
таппаган, таппаған
усынады, ұсынады 
окигалар, оқиғалар 
мерзым, мерзім 
конституцияга, конституцияға 
сайкес, сәйкес 
буган, бұған
жеты, жеті 
президенттык, президенттік  
сайлаудын, сайлаудың 
отты, өтті
белсендылерыне, белсенділеріне
келесы, келесі 
сайлаугу, сайлауға  
опык, опық 
калмау, қалмау  
казирден, қазірден 
нены, нені 
ескеруы, ескеруі 
такырыпта, тақырыпта 
орбиткысы, өрбіткісі 
тартыншактагандар, тартыншақтағандар 
адеттегыдей, әдеттегідей 
мезгылынен, мезгіленен 
абден, әбден 
режимнын, режимнің 
утылып, ұтылып
бириншиден, біріншіден
ретынде, ретінде 
акорданын, ақорданың 
руксатынсыз, рұқсатынсыз 
кылмыспен, қылмыспен 
кылмыстык, қылмыстық  
тыркелген, тіркелген 
талпынган, талпынған 
азаматтардын, азаматтардың  
турмеде, түрмеде 
кысымга, қысымға
биржолата, біржолата 
екыталай, екіталай
екиншиден, екіншіден 
азаматтык, азаматтық 
когамда, қоғамда 
калыптаскан, қалыптасқан
билыктын, биліктің  
келыспейтын, келіспейтін 
бириктире, біріктіре 
ондаган, ондаған 
топтардын, топтардың 
кокжиегынын, көкжиегінің 
устанымдагы, ұстанымдағы 
саясаткерлердын, саясаткерлердің 
тиымсыз, тиімсіз  
билыкшыл, билікшіл 
куманим, күмәнім 
окиништиси, өкініштісі
саясаттагы, саясаттағы
когамдагы, қоғамдағы  
терендей, тереңдей
каукарсыз, қауқарсыз
омирдегы, өмірдегі 
суйрейды, сүйрейді
тусиникти, түсінікті 
нарсе, нәрсе
дауырынын, дәуірінің 
биржакты, біржақты  
адилетсыз, әділетсіз 
кландык, кландық 
баскарганын, басқарғанын 
билесыздер, білесіздер
адилетты, әділетті 
суранысын, сұранысын 
канагаттандырган, қанағаттандырған 
тармактары, тармақтары
тендик, теңдік 
кушейген, күшейген 
шкетелды, шектелді
басеке, бәсеке 
мыгым, мығым 
ережелеры, ережелері 
бекытылмеды, бекітілмеді
калпында, қалпында
дайындыкты, дайындықты 
касакана, қасақана 
карамау, қарамау
курескерлер, күрескерлер 
додага, додаға 
тузакка, тұзаққа 
туспес, түспес 
умиткерды, үміткерді 
озара, өзара 
азирлеп, әзірлеп
кундылыктар, құндылықтар 
жониндегы, жөніндегі 
мынез, мінез
кулкынын, құлқының 
бурмалаушылыктар, бұрмалаушылықтар
сенымы, сенімі 
тугесылген, түгесілген 
мукият, мұқият 
деректерды, деректерді 
уйреншыкты, үйреншікті
нускауымен, нұсқауымен
жалгыз, жалғыз
басекелестык, бәсекелестік
улесы, үлесі
кейбыреулеры, кейбіреулері
ашыктыктын, ашықтықтың
мудделы, мүдделі
камтиды, қамтиды
шешымды, шешімді
немкурайлы, немқұрайлы
алдекайда, әлдеқайда
кытайшыл, қытайшыл
секылды, секілді
ынтымактастык, ынтымақтастық
ыдыраганнан, ыдырағаннан
киналай, кінәлай
кыркуйекте, қыркүйекте
енгызылып, енгізіліп
окилеттык, өкілеттік
карашасында, қарашасында
дастуры, дәстүрі
курды, кұрды
улгы, үлгі
артыкшылыгы, артықшылығы
колдаушы, қолдаушы
женылсе, жеңілсе
томенгы, төменгі
бурмалау, бұрмалау
казакстанда, қазақстанда 
америкага, америкаға 
болдын, болдың
окыганым, оқығаным 
ынгайы, ыңғайы
камелет, кәмелет
толмаган, толмаған
карындастарыма, қарындастарыма
конгилеры, көнгілері
немерелерын, немерелерін
касымызда, қасымызда
куалик, куәлік
тарбиешынын, тәрбиешінің
каражатка, қаражатқа
тыреледы, тіреледі
жалакы, жалақы
ерынбей, ерінбей
акпаратты, ақпаратты
байкаганымдай, байқайғанымдай
касиптын, кәсіптің
пысыктыгына, пысықтығына
танкалдырганы, таңқалдырғаны
аландаймын, алаңдаймын
аныктасан, анықтасаң
согурым, соғұрым
патер, пәтер
артык, артық
тыртык, тыртық
сабак, сабақ
жубайыныз, жұбайыңыз
жуктин, жүктің
келыспеушилик, келіспеушілік
жауапкершилик, жауапкершілік
айналана, айналаңа
баспанага, баспанаға
шакирт, шәкірт
талим, тәлім
туткындалып, тұтқындалып
бейбит, бейбіт
ерік, ерик
жигер, жігер
кыргыз, қырғыз
ушакпен, ұшақпен
акпан, ақпан
коронавируска, коронавирусқа
медкызметкерлер, медқызметкерлер
мугалимдер, мұғалімдер
калаушы, қалаушы
салдыруга, салдыруға
мындеттымыз, міндеттіміз
зангер, заңгер
журт, жұрт
укиметтегылер, үкіметтегілер
кайсын, қайсын
сауырден, сәуірден
екпесы, екпесі
журтка, жұртқа
кызаруы, қызаруы
коркудын, қорқудың
тегин, тегін
жериниз, жеріңіз 
медкомек, медкөмек
жуктыргандармен, жұқтырғандармен
барларга, барларға
жон, жөн
аскандарга, асқандарға
емизип, емізіп
буйрек, бүйрек
окпе, өкпе
кант, қант
журек, жүрек
жуйке, жүйке
катерли, қатерлі
емханага, емханаға
бекиткен, бекіткен
халинизды, халіңізді
моншага, моншаға
шугылданбауга, шұғылданбауға
тамактаныныз, тамақтаныңыз
сактык, сақтық
кабынуга, қабынуға
дарилерды, дәрілерді
учаскелик, учаскелік
камалауы, қамалуы
жумган, жұмған
жак, жақ
салган, салған
кесырынен, кесірінен
медмекемены, медмекемені
ерыкты, ерікті
мазмуны, мазмұны
тыгырыкка, тығырыққа
шакырылушылардын, шақырылушылардың
алимжеттык, әлімжеттік
устем, үстем
кайтпек, қайтпек
таяк, таяқ
купияся, құпиясы
тапкысы, тапқысы
окилимен, өкілімен
жазылмаган, жазылмаған
санаттагы, санаттағы
кемсытетын, кемсітетін
азшылык, азшылық
отемеуге, өтемеуге
карулы, қарулы
катигез, қатігез
заннама, заңнама
зайыптылык, зайыптылық
жыныстык, жыныстық
багдар, бағдар
кылмыстарга, қылмыстарға
ансар, аңсар
зынгыттей, зіңгіттей
отириги, өтірігі
амбебап, әмбебап
ауыткуы, ауытқуы
сотталган, сотталған
акпандагы, ақпандағы
кукылысыз, құқылысыз
торагасына, төрағасына
аткарушы, атқарушы
муктаж, мұқтаж
мугедек, мүгедек
кабилетсыз, қабілетсіз
жалгызбасты, жалғызбасты
пандемияга, пандемияға
маслихаттардын, мәслихаттардың
танылгандар, танылғандар
туыстарынын, туыстарының
топтагы, топтағы
откергендер, өткергендер
бирлестиктерде, бірлестіктерде
бугинде, бүгінде
жукпалы, жұқпалы
кунтузу, қантүзу
заталмасудын, заталмасудың
емизик, емізік
кулак, құлақ
канайналым, қанайналым
аскорыту, асқорыту
заршыгару, зәршығару 
суйек, сүйек
булшыкет, бұлшықет 
данекер, дәнекер 
терыасты, теріасты 
жасунык, жасұнық 
жуктилик, жүктілік
аскыну, асқыну
агзадагы, ағзадағы  
кинарат, кінәрат
жаракат, жарақат 
шынжауык, шынжаулық
шыжын, шыжың
кекештик, кекештік 
тутыгу, тұтығу 
малиметинше, мәліметінше
зандастырган, заңдастырған
жалпыазаматтык, жалпыазаматтық
турмей, түрмей
кушке, күшке
уаде, уәде
насилине, нәсіліне
кузиретын, құзіретін
кадагалайды, қадағалайды
насилшилдикти, нәсілшілдікті
кукыктарынын, құқықтарының
дынын, дінін
жардемакы, жәрдемақы
жабык, жабық
нацистык, нацистік
артык, артық
кабыргасы, қабырғасы
тугендеп, түгендеп
корши, көрші
мулик, мүлік
тургын, тұрғын
дангылындагы, даңғылындағы
туран, тұран
назарларынызга, назарларыңызға
капыда, қапыда
ланкестик, лаңкестік
тартипсиздиктер, тәртіпсіздіктер
далелденбеген, дәлелденбеген
есебынде, есебінде
корытындыларына, қорытындыларына
молшерлес, мөлшерлес
мамлеге, мәмлеге
байкадык, байқадық
уажин, үәжін
наразылыкка, наразылыққа
шыккандармен, шыққандармен
легитимдилигыне, легитимділігіне
диалогка, диалогқа
автократиялык, автократиялық
озекты, өзекті
коздейды, көздейді
интернеттегы, интернеттегі
уйренып, үйреніп
елдегыдей, елдегідей
карангы, қараңғы
коленкелы, көлеңкелі
карапайым, қарапайым
аноимдилигин, анонимділігін
кыскартылган, қысқартылған
азирлеушилеры, әзірлеушілері
манинде, мәнінде
жасактаманын, жасақтаманың
серверды, серверді
дерегын, дерегін
индекстемейтын, индекстемейтін
карама, қарама
кайшы, қайшы
уйым, ұйым
аландамау, алаңдамау
есиртки, есірткі
пионерлеры, пионерлері
цифрлык, цифрлық
хакерлик, хакерлік
наркологиялык, наркологиялық
корынын, қорының
жексенбы, жексенбі
дуйсенбы, дүйсенбі
есирткиге, есірткіге
коспаганда, қоспағанда
тенгеге, теңгеге
тауардын, тауардың
алаяктар, алаяқтар
куны, құны
лактырып, лақтырып
урлаумен, ұрлаумен
бузудын, бұзудың
сайтындагы, сайтындағы
бузуга, бұзуға
кунды, құндым
иесыне, иесіне
мурагат, мұрағат
конырауларды, қоңырауларды
аншылык, аңшылық
толыктай, толықтай
курбанына, құрбанына
кемшилик, кемшілік
ыктимал, ықтимал
шырмауык, шырмауық
беделды, беделді
кауымдастыгы, қауымдастығы
элиталык, элиталық
шогыры, шоғыры
алгашкысы, алғашқысы
гимараттарынын, ғимараттарының
комкерилген, көмкерілген
шапшан, шапшаң
сынаган, сынаған
шенберынде, шеңберінде
тагылымдамага, тағылымдамаға
тулектердын, түлектердің
шарртагы, шарттағы
марте, мәрте
басекелесетын, бәсекелесетін
узилиссиз, үзіліссіз
кейыпкерымыз, кейіпкеріміз
артыкшылыгын, артықшылығын
дарис, дәріс
талкылау, талқылау
туста, тұста
жандарга, жандарға
ниетты, ниетті
кызыгушылык, қызығушылық
кысылмауды, қысылмауды
окытушылыкка, оқытушылыққа
жабдыгы, жабдығы
сонгы, соңғы
жаналыкты, жаңалықты
айгили, әйгілі
тизиминен, тізімінен
менгеру, меңгеру
улгилеры, үлгілері
сухбат, сұхбат
ман, мән
жерлесымыз, жерлесіміз
курделене, күрделене
доп, дөп
мотивациялык, мотивациялық
бакалаврга, бакалаврға
кабилеттер, қабілеттер
дуниежузилик, дүниежүзілік
испен, іспен
денгейде, деңгейде
нарсены, нәрсені
кабылдай, қабылдай
мектептегы, мектептегі
тазалык, тазалық
даригерлик, дәрігерлік
акаулардын, ақаулардың
сыркаттарды, сырқаттарды
аумактык, аумақтық
екиге, екіге
узактыгына, ұзақтығына
корсеткиштермен, көрсеткіштермен
аспектилердын, аспектілердің
баскармалык, басқармалық
себептерыне, себептеріне
зандылыктарын, заңдылықтарын
жагымсыз, жағымсыз
сипаттагы, сипаттағы
даярлауга, даярлауға
пакистан, пәкістан
туркия, түркия
сынген, сіңген
биртума, біртума
лауазымындагы, лауазымындағы
дайексоз, дәйексөз
журекшелердын, жүрекшелердің
косалкысынын, қосалқысының
ыктимал, ықтимал
шолуга, шолуға
жетилмеген, жетілмеген
оршитын, өршитін
суйекшилик, сүйекішілік
далелдилик, дәлелділік
каркынды, қарқынды
туйынды, түйінді
мейргерлик, мейіргерлік
сайкестик, сәйкестік
кылт, кілт
матинди, мәтінді
гемостатикалык, гемостатикалық
басылымдар, басылымдар
талданды, талданды
препараттар, препараттар
кыскыштардын, қысқыштардың
гемостаздык, гемостаздық
когорттык, когорттық
корытындылар, қорытындылар
сылтемелер, сілтемелер
коронарлык, коронарлық
кириспе, кіріспе
тапшылыгы, тапшылығы
усти, үсті
безынын, безінің
генындегы, геніндегі
кырыстырылген, кірістірілген
статистикалык, статистикалық
тузды, тұзды
нуктелик, нүктелік
адистеме, әдістеме
популяцияларда, популяцияларда
танымал, танымал
мазасыздыктан, мазасыздықтан
ырыктемесынде, іріктемесінде
мамырында, мамырында
пилоттык, пилоттық
мазасыздык, мазасыздық
стресстын, стресстің
расымы, рәсімі
сауалнамасынын, сауалнамасының
жариялымдар, жариялымдар
арасында, арасында
сауалнама, сауалнама
валидизациялау, валидизациялау
жауаптарын, жауаптарын
каржыландырудын, қаржыландырудың
сухбаттасу, сұхбаттасу
расталды, расталды
саясатын, саясатын
дайындау, дайындау
айтылды, айтылды
мансап, мансап
картайган, қартайған
картыкка, қарттыққа
суйсеныз, сүйсеніз
алдамшы, алдамшы
шамшырак, шамшырақ
тумау, тұмау
азырак, азырақ
саяжайды, саяжайды
лайыкты, лайықты
орнынызды, орнынызды
акелсын, әкелсін
куйзелиске, күйзеліске
жалкаулык, жалқаулық
теледидар, теледидар
козгалткыш, қозғалтқыш
улкейген, үлкейген
азаюы, азаюы
себепшы, себепші
дагдылыктын, дағдылықтын
дене, дене
кимылдау, қимылдау
салмак, салмақ
жылдамдатады, жылдамдатады
шылым, шылым
агзанын, ағзаның
магынасын, мағынасын
шамасымен, шамасымен
саяхатка, саяхатқа
жаяу, жаяу
таза, таза
жаттыгатын, жаттығатын
салауатты, салауатты
талай, талай
салтын, салтын
асханада, асханада
кездейсок, кездейсоқ
дайынсыз, дайынсыз
комирсутек, көмірсутек
шектеу, шектеу
женуге, жеңуге
арнау, арнау
бастысы, бастысы
жасырым, жасырым
табылады, табылады
комирсу, көмірсу
алдымен, алдымен
ауада, ауада
серуенге, серуенге
азырак, азырақ
арттырыныз, арттырыныз
сыра, сыра
еркектерге, еркектерге
парасатты, парасатты
киянаты, қиянаты
достар, достара
аулак, аулақ
шындықта, шындықта
сабырлыкты, сабырлықты
жынысынын, жынысының
пайдалы, пайдалы
сосын, сосын
табу, табу
ереже, ереже
байыргы, байырғы
борышы, борышы
ауруды, ауруды
дамыту, дамыту
асыру, асыру
шугыл, шұғыл
талимгер, тәлімгер
кантты, қантты
демикпе, демікпе
жастар, жастар
отбасынды, отбасынды
сарсенби, сәрсенбі
тарау, тарау
тарауга, тарауға
сызбасымен, сызбасымен
ауруларды, ауруларды
тарту, тарту
мейирбикесы, мейірбикесі
закымдалгандарга, зақымдалғандарға
курметты, құрметті
анызга, аңызға
лауазымы, лауазымы
ересек, ересек
орынбасарына, орынбасарына
танымал, танымал
корерменнын, көрерменнің
басты, басты
немесе, немесе
наурыз, наурыз
емдеу, емдеу
коже, көже
зорлык, зорлық
мәнерлеп, манерлеп
зомбылык, зомбылық
нашакорлыктын, нашақорлықтың
бойжеткендерге, бойжеткендерге
жұқпалардан, жукпалардан
ежелден, ежелден
талдамакпыз, талдамақпыз
шенберын, шеңберін
шабуылды, шабуылды
пандерге, пәндерге
ашушылар, ашушылар
ауыл, ауыл
орай, орай
болжайды, болжайды
сипатталады, сипатталады
тукымкалаушылык, тұқымқуалаушылық
ластануы, ластануы
болжамдарын, болжамдарын
такия, тақия
лупил, лүпіл
телехикаясы, телехикаясы
баяндайды, баяндайды
байрагын, байрағын
омирбаяны, өмірбаяны
туындыларын, туындыларын
жарменкесыне, жәрмеңкесіне
куантып, қуантып
азиялыктар, азиялықтар
ойымыз, ойымыз
абырой, абырой
ажырата, ажырата
топас, топас
терлеп, терлеп
барар, барар
арабсымак, арабсымақ
шатастыруы, шатастыруы
ойлары, ойлары
жарнама, жарнама
уштугырлы, үштұғырлы
бейпыл, бейпіл
боксозды, боқсөзді
баяндауыш, баяндауыш
жазгытуры, жазғытұры
кулпырар, құлпырар
масатыдай, масатыдай
тулкы, түлкі
кушыгынын, күшігінің
ауызекы, ауызекі
тенгелык, теңгелік
аман, аман
жазушы, жазушы
кеткентугын, кеткентұғын
ауес, әуес
асырыс, асырыс
косемы, көсемі
биыл, биыл
киножулдесын, киножүлдесін
марапаттау, марапаттау
улыкталуы, ұлықталуы
ажырамас, ажырамас
мызгымас, мызғымас
толды, толды
дариптелуы, дәріптелуі
женымпаздары, жеңімпаздары
ауырсыну, ауырсыну
бейымделген, бейімделген
дыбыс, дыбыс
пландагы, пландағы
зулым, зұлым
мыстанынын, мыстанының
кыскаметражды, қысқаметражды
байбише, бәйбіше
байтерек, бәйтерек
байшешек, бәйшешек
еркелетесыз, еркелетесіз
калкам, қалқам
он, өң
шылаулар, шылаулар
амбеге, әмбеге
кисынды, қисынды
шарыктау, шарықтау
шагыну, шағыну
кулдык, құлдық
кисынсыздыгын, қисынсыздығын
догарайык, доғарайық
дакылдардын, дақылдардың
ансаган, аңсаған
данды, дәнді
корнекыде, көрнекіде
бырдемесы, бірдемесі
камыры, қамыры
майына, майына
ренкты, реңкті
торка, торқа
мурасына, мұрасына
рухани, рухани
патша, патша
паракшада, парақшада
зиялылары, зиялылары
утыр, үтір
ушы, ұшы
тогытып, тоғытып
дагдыга, дағдыға
курмалас, құрмалас
орайда, орайда
кыстырма, қыстырм
каратпа, қаратпа
егемен, егемен
арыстан, арыстан
ханым, ханым
сахнасысында, сахнасысында
шабыт, шабыт
дыбыстагандар, дыбыстағандар
аумалы, аумалы
токпелы, төкпелі
тосынсый, тосынсый
буйырса, бұйырса
титтей, титтей
тапталатын, тапталатын
алгалы, алғалы
геосаяси, геосаяси
абестык, әбестік
тангажайып, таңғажайып
сапарына, сапарына
карашадан, қарашадан
зиятты, зиятты
берсек, берсек
аудиожазбаларды, аудиожазбаларды
барынша, барынша
кайран, қайран
толкыным, толқыным
орындаушылармен, орындаушылармен
тараптар, тараптар
сайлауларда, сайлауларда
мура, мұра
ерекше, ерекше
курыстырмай, құрыстырмай
тамыр, тамыр
сынга, сынға
жасыл, жасыл
тутыну, тұтыну
журнагы, жұрнағы
елестеткен, елестеткен
мерекесы, мерекесі
ресми, ресми
саналады, саналады
дамыткымыз, дамытқымыз
жалтактамай, жалтақтамай
қабақ, кабак
мойындауымыз, мойындауымыз
куптаймыз, құптаймыз
